Electronic Annex EA-1: Phase boundaries in the pure NaCl system, Eqs. (1) - (3).



-------------------------------

Eq. (1): NaCl melting curve



T [C]	P [bar]



800.7	0.0005

805	173.906

810	376.122

815	578.339

820	780.555

825	982.771

830	1184.99

835	1387.2

840	1589.42

845	1791.64

850	1993.85

855	2196.07

860	2398.29

865	2600.5

870	2802.72

875	3004.93

880	3207.15

885	3409.37

890	3611.58

895	3813.8

900	4016.02

905	4218.23

910	4420.45

915	4622.66

920	4824.88

-------------------------------



-------------------------------

Eq. (2): NaCl sublimation curve



T [C]	P [bar]



5	1.770379e-35

10	9.944481e-35

15	5.261222e-34

20	2.629728e-33

25	1.245364e-32

30	5.602773e-32

35	2.400574e-31

40	9.818567e-31

45	3.841964e-30

50	1.441196e-29

55	5.192730e-29

60	1.800359e-28

65	6.016642e-28

70	1.941240e-27

75	6.056084e-27

80	1.829419e-26

85	5.358320e-26

90	1.523675e-25

95	4.211413e-25

100	1.132741e-24

105	2.968043e-24

110	7.583878e-24

115	1.891542e-23

120	4.609402e-23

125	1.098392e-22

130	2.561629e-22

135	5.851467e-22

140	1.310177e-21

145	2.877553e-21

150	6.203571e-21

155	1.313615e-20

160	2.733834e-20

165	5.595147e-20

170	1.126761e-19

175	2.233925e-19

180	4.362605e-19

185	8.396119e-19

190	1.593207e-18

195	2.982108e-18

200	5.508337e-18

205	1.004487e-17

210	1.809120e-17

215	3.219260e-17

220	5.661993e-17

225	9.846009e-17

230	1.693462e-16

235	2.881747e-16

240	4.853297e-16

245	8.091872e-16

250	1.336033e-15

255	2.185055e-15

260	3.540791e-15

265	5.686469e-15

270	9.053095e-15

275	1.429115e-14

280	2.237448e-14

285	3.474966e-14

290	5.354922e-14

295	8.189364e-14

300	1.243163e-13

305	1.873573e-13

310	2.803873e-13

315	4.167438e-13

320	6.152879e-13

325	9.025237e-13

330	1.315468e-12

335	1.905512e-12

340	2.743584e-12

345	3.927027e-12

350	5.588692e-12

355	7.908913e-12

360	1.113119e-11

365	1.558262e-11

370	2.170041e-11

375	3.006603e-11

380	4.144922e-11

385	5.686406e-11

390	7.764056e-11

395	1.055152e-10

400	1.427456e-10

405	1.922536e-10

410	2.578064e-10

415	3.442399e-10

420	4.577382e-10

425	6.061785e-10

430	7.995563e-10

435	1.050508e-09

440	1.374952e-09

445	1.792867e-09

450	2.329242e-09

455	3.015229e-09

460	3.889527e-09

465	5.000060e-09

470	6.405984e-09

475	8.180092e-09

480	1.041168e-08

485	1.320996e-08

490	1.670813e-08

495	2.106811e-08

500	2.648629e-08

505	3.320009e-08

510	4.149584e-08

515	5.171790e-08

520	6.427933e-08

525	7.967438e-08

530	9.849293e-08

535	1.214373e-07

540	1.493415e-07

545	1.831938e-07

550	2.241627e-07

555	2.736261e-07

560	3.332056e-07

565	4.048054e-07

570	4.906567e-07

575	5.933683e-07

580	7.159840e-07

585	8.620485e-07

590	1.035681e-06

595	1.241659e-06

600	1.485512e-06

605	1.773632e-06

610	2.113387e-06

615	2.513261e-06

620	2.983002e-06

625	3.533791e-06

630	4.178433e-06

635	4.931564e-06

640	5.809888e-06

645	6.832435e-06

650	8.020854e-06

655	9.399729e-06

660	1.099694e-05

665	1.284404e-05

670	1.497672e-05

675	1.743524e-05

680	2.026501e-05

685	2.351711e-05

690	2.724896e-05

695	3.152501e-05

700	3.641748e-05

705	4.200724e-05

710	4.838465e-05

715	5.565060e-05

720	6.391757e-05

725	7.331082e-05

730	8.396963e-05

735	9.604874e-05

740	1.097198e-04

745	1.251730e-04

750	1.426189e-04

755	1.622902e-04

760	1.844439e-04

765	2.093636e-04

770	2.373615e-04

775	2.687815e-04

780	3.040016e-04

785	3.434369e-04

790	3.875429e-04

795	4.368189e-04

800	4.918115e-04

800.7	5.000000e-04

-------------------------------



-------------------------------

Eq. (3): NaCl boiling curve



T [C]	P [bar]



800.7	5.0e-4

805	5.419375e-04

810	5.946665e-04

815	6.519693e-04

820	7.141926e-04

825	7.817053e-04

830	8.548997e-04

835	9.341927e-04

840	1.020027e-03

845	1.112873e-03

850	1.213228e-03

855	1.321622e-03

860	1.438612e-03

865	1.564793e-03

870	1.700789e-03

875	1.847263e-03

880	2.004915e-03

885	2.174483e-03

890	2.356747e-03

895	2.552529e-03

900	2.762695e-03

905	2.988158e-03

910	3.229879e-03

915	3.488868e-03

920	3.766189e-03

925	4.062960e-03

930	4.380352e-03

935	4.719600e-03

940	5.081996e-03

945	5.468896e-03

950	5.881723e-03

955	6.321965e-03

960	6.791182e-03

965	7.291008e-03

970	7.823150e-03

975	8.389394e-03

980	8.991608e-03

985	9.631743e-03

990	1.031183e-02

995	1.103401e-02

1000	1.180048e-02

-------------------------------
